fname_c1,fname_c2,lname_c1,lname_c2,by,bm,bd,rec_id,ent_id
JENS,NA,WAGNER,NA,1986,8,14,2763,77
KURT,NA,BOEHM,NA,1931,2,7,2764,3061
RALF,NA,MUELLER,NA,1972,6,9,2765,1329
CHRISTIAN,NA,BECKER,NA,1954,3,2,2766,2893
JUERGEN,NA,SCHMIDT,NA,1959,1,24,2767,3369
WALTER,NA,ENGEL,NA,1947,9,4,2768,4026
THORSTEN,NA,WINKLER,NA,1970,4,14,2769,2760
ROBERT,NA,HORN,NA,1957,6,7,2770,1780
CARSTEN,NA,JUNG,NA,1959,10,19,2771,4369
DIRK,NA,BRAUN,NA,1981,8,6,2772,1360
FRANK,NA,MEYER,NA,2008,10,18,2773,584
CHRISTIAN,NA,LEHMANN,NA,1994,5,24,2774,27
ANDREAS,NA,HARTMANN,NA,1984,1,5,2775,2985
STEFAN,NA,SAUER,NA,1957,11,29,2776,3375
CHRISTIAN,NA,HARTMANN,NA,1958,11,25,2777,1426
ROLF,NA,BECKER,NA,1928,1,3,2778,2832
WOLFGANG,MANFRED,SAUER,NA,1969,9,15,2779,1174
JUERGEN,NA,FRIEDRICH,NA,1951,6,26,2780,1697
MARTIN,NA,KUHN,NA,1936,1,14,2781,2243
ANDRE,NA,MAIER,NA,1996,9,17,2782,451
MICHAEL,NA,SCHMITZ,NA,1929,3,2,2783,1468
MAIK,NA,MAYER,NA,1971,6,28,2784,3996
DIRK,NA,SCHREIBER,NA,1997,3,15,2785,3042
PETER,NA,MUELLER,NA,1979,1,20,2786,3355
CHRISTOPH,NA,WEBER,NA,1942,1,7,2787,4187
INGO,KARL,SCHMIDT,NA,1982,3,13,2788,2762
WOLFGANG,NA,MUELLER,NA,2002,12,28,2789,191
UWE,NA,SCHMITT,NA,1954,7,18,2790,4433
ALEXANDER,NA,KRAUSE,NA,1941,6,9,2791,1263
GUENTHER,NA,MUELLER,NA,1956,4,3,2792,3683
JAN,WALTER,JAEGER,NA,1965,3,24,2793,3513
GUENTHER,NA,BRAUN,NA,1930,2,2,2794,650
CHRISTOPH,NA,KOEHLER,NA,1948,2,29,2795,2100
WERNER,NA,BAUMANN,NA,1955,9,14,2796,913
ANDREAS,NA,MUELLER,NA,1935,9,4,2797,2386
RAINER,NA,HUBER,NA,1967,6,18,2798,4441
UWE,NA,SCHMIDT,NA,1950,6,15,2799,4353
ROBERT,NA,HAAS,NA,1931,1,24,2800,4358
KLAUS,NA,FISCHER,NA,1963,3,13,2801,3138
PETER,NA,WINTER,NA,1930,7,14,2802,1532
JAN,NA,MUELLER,NA,1974,3,19,2803,2872
STEFAN,NA,KODHLER,NA,1963,6,19,2804,184
WALTER,NA,ENGEL,NA,2005,6,7,2805,4068
HELMUT,NA,BERGMANN,NA,1932,3,18,2806,3945
HERMANN,NA,LORENZ,NA,1951,10,17,2807,3488
VOLKER,NA,SEIDEL,NA,1989,8,22,2808,2956
HERMANN,NA,BECK,NA,1938,2,13,2809,2272
LARS,NA,BECKER,NA,1963,2,8,2810,2015
THOMAS,NA,HOFFMANN,NA,1982,10,1,2811,1017
HANS,NA,KLEIN,NA,1996,10,26,2812,1057
KURT,NA,SCHMIDT,NA,1969,6,25,2813,3262
DIETER,HERMANN,MUELLER,NA,1970,7,23,2814,2412
JAN,NA,SCHROEDER,NA,1971,11,12,2815,426
PETER,NA,WAGNER,NA,2002,4,21,2816,2089
THOMAS,NA,KRAUSE,NA,1938,4,4,2817,2846
GERHARD,NA,FRANK,NA,1990,7,10,2818,4482
THOMAS,NA,KAISER,NA,1680,5,13,2819,2064
MANFRED,NA,SIMON,NA,1995,10,9,2820,3829
GERHARD,NA,MUELLER,NA,1958,3,12,2821,4439
MARTIN,NA,SCHMIDT,NA,2004,2,16,2822,3318
WOLFGANG,NA,GUENTHER,NA,1959,7,9,2823,3813
WALTER,NA,ROTH,NA,1974,5,30,2824,1281
BERND,NA,WEBR,NA,1927,11,6,2825,2035
JOACHIM,NA,HOFMANN,NA,2005,12,7,2826,287
OLAF,NA,KOEHLER,NA,1959,1,10,2827,4421
RALF,NA,BAUEE,NA,1964,2,16,2828,3487
THOMAS,NA,MUELLER,NA,1985,9,13,2829,889
PHILIPP,NA,RICHTER,NA,1933,5,10,2830,4260
RALF,NA,MUELLER,NA,1966,2,9,2831,2586
ULRICH,NA,ROTH,NA,1969,3,21,2832,3495
KARL,NA,ALBRECHT,NA,1953,8,15,2833,1942
STEFAN,NA,MUELLER,NA,2008,12,29,2834,4283
MICHAEL,NA,FRIEDRICH,NA,1996,9,26,2835,2241
JUERGEN,NA,SCHNEIDER,NA,2000,4,22,2836,1390
FRANK,MARTIN,KOERTIG,NA,1942,4,30,2837,2630
WERNER,NA,HEINRICH,NA,1953,4,23,2838,2691
MANFRED,NA,WEBER,NA,1953,3,18,2839,4035
JUERGEN,NA,SCHMIDT,NA,1969,3,31,2840,3459
THORSTEN,NA,SCHMIDT,NA,1940,7,28,2841,947
MANFRED,NA,SCHNEIDER,NA,1950,4,8,2842,861
FRANK,NA,ZIMMERMANN,NA,1933,6,8,2843,2668
GUENTHER,NA,WEBER,NA,1960,12,4,2844,3856
KLAUS,NA,KLEIN,NA,1971,4,11,2845,3257
STEFAN,NA,ROTH,NA,1946,2,9,2846,2998
HANS,NA,RICHTER,NA,1986,4,14,2847,3099
STEFAN,NA,NEUMANN,NA,1995,1,7,2848,3920
WILHELM,NA,BERGMANN,NA,1935,8,11,2849,1560
WOLFGANG,NA,ZIMMERMANN,NA,2005,9,16,2850,2839
HARALD,NA,RICHTER,NA,1940,8,28,2851,2022
JUERGEN,NA,BERGMANN,NA,1960,6,26,2852,3767
HANS,NA,HOFFMANN,NA,1943,8,24,2853,1694
MICHAEL,NA,MUELLER,NA,1960,11,10,2854,1069
ANDREAS,NA,MUELLER,NA,1996,7,19,2855,264
PETER,NA,SCHULZE,NA,1937,9,24,2856,1661
JOERN,NA,LUDWIG,NA,1965,10,4,2857,1022
MARTIN,NA,FRIEDRICH,NA,1985,11,21,2858,3177
ANDREAS,NA,MEIER,NA,1934,4,11,2859,286
STEFAN,NA,MUELLER,NA,1941,6,9,2860,4388
BERND,NA,BECK,NA,1940,4,22,2861,4214
ROLF,NA,SCHNID,NA,1954,1,24,2862,977
STEFAN,NA,KOEHLER,NA,1963,6,19,2863,184
WERNER,NA,MUELLER,NA,1955,8,6,2864,1380
KURT,NA,KOEHLER,NA,1987,11,6,2865,3276
ANDREAS,NA,WALTER,NA,1935,4,12,2866,3818
MICHAEL,NA,MUELLER,NA,1952,5,13,2867,3048
STEFAN,NA,KRACUSE,WALTER,1954,2,20,2868,3308
RALFC,NA,KUEHN,NA,2005,11,25,2869,328
KLAUS,NA,MUELLER,NA,1971,10,3,2870,4143
ROLF,NA,ZIMMERMANN,NA,1930,2,26,2871,3982
HORST,NA,KOCH,NA,1977,9,9,2872,2999
WALTER,NA,KRUEGER,NA,1955,12,28,2873,1825
OTTO,NA,SCHREIBER,NA,1958,10,17,2874,4392
PETER,NA,SCHMIDT,NA,2008,6,10,2875,1208
PAUL,NA,SCHULZE,NA,1930,7,6,2876,1301
THOMAS,NA,SCHULTE,NA,1949,1,21,2877,3423
GERHARD,NA,KOCH,NA,1997,3,9,2878,1871
WERNER,NA,LORENZ,NA,1956,4,8,2879,302
JOERG,NA,KOERTIG,NA,1941,10,4,2880,4455
HEINRICH,NA,HAAS,NA,1965,1,15,2881,2851
GUENTHER,NA,HOFFMANN,NA,1942,11,11,2882,189
HERBERT,NA,KLEIN,NA,1981,3,26,2883,3417
JUERGEN,NA,KRUEGER,NA,1935,4,23,2884,1729
NILSK,NA,BECK,NA,2001,3,29,2885,3277
WERNER,NA,MEYER,NA,1993,12,24,2886,2850
STEFAN,NA,SCHULTE,NA,1979,1,8,2887,1801
PETER,NA,PETERS,NA,1940,8,19,2888,2845
JUERGEN,NA,WALTER,NA,1953,12,1,2889,3072
RUDOLF,NA,FISCHER,NA,1970,12,22,2890,1651
CARSTEN,NA,GROSS,NA,1979,11,10,2891,417
SVEN,NA,ZIMMERMANN,NA,1979,5,13,2892,1898
HORST,NA,MUELLER,NA,1981,3,29,2893,748
HELMUT,NA,DIETRICH,NA,1971,5,11,2894,1223
WERNER,NA,BECKER,NA,1991,3,27,2895,2115
WILLI,NA,PETERS,NA,1963,7,9,2896,831
KARL,NA,FISCHER,NA,1955,10,22,2897,423
FRANK,NA,BERGER,NA,1975,1,10,2898,4221
BERNXD,NA,KLEIN,NA,2006,11,12,2899,2306
PETER,NA,SCHMIDT,NA,1995,1,25,2900,2111
DIETER,NA,SCHROEDER,WOLF,1954,1,22,2901,2208
MANFRED,NA,SCHMIDT,NA,1935,7,15,2902,2852
RENE,NA,MUELLER,NA,1980,7,27,2903,4052
PAFUL,NA,PFEIFFER,NA,1956,10,20,2904,2926
CARSTEN,NA,SCHULZ,NA,1965,1,25,2905,3657
WOLFGANG,NA,FISCHER,NA,1936,10,11,2906,936
GUENTHER,NA,HOFFMANN,NA,1990,4,5,2907,3368
MICHAEL,NA,KOCH,NA,1930,4,8,2908,2393
ANDREAS,NA,WINTER,NA,1966,10,8,2909,3932
GUENTHER,NA,MUELLER,NA,1935,9,17,2910,410
ALFRED,NA,SCHULZE,NA,1974,10,16,2911,651
JUERGEN,NA,KRUEGER,NA,1961,3,28,2912,1341
DIRK,NA,SCHMID,NA,1970,8,23,2913,2359
JUERGEN,NA,KOEHLER,NA,1947,1,1,2914,3259
REINHARD,NA,MAIER,NA,1958,7,8,2915,1305
GERHARD,NA,SCHOLZ,NA,1936,5,5,2916,3826
WOLFGANG,NA,SCHULZE,NA,1961,4,23,2917,1172
RALF,NA,KELLER,NA,1947,1,12,2918,3025
HORST,GERHARD,KOCH,NA,1957,2,6,2919,1490
NORBERT,NA,KAISER,NA,1934,4,11,2920,1216
MICHAEL,NA,WOLF,NA,1977,8,17,2921,4492
ALFRED,NA,KOCH,NA,1992,11,9,2922,3397
MICHAEL,NA,SCHNEIDER,NA,1945,10,26,2923,2991
NORBERT,NA,PETERS,NA,2008,6,3,2924,2673
MICHAEL,NA,SAUER,NA,2006,12,24,2925,2654
MATTHIAS,NA,SCHMIDT,NA,1965,12,30,2926,4053
RAINER,NA,KLEIN,NA,1973,6,11,2927,1897
JENS,NA,SCHNEIDER,NA,1928,7,27,2928,624
WALTER,NA,BERGER,NA,1924,5,25,2929,3450
FRANZ,NA,SCHULZE,NA,1979,2,6,2930,3239
WOLFZGANG,NA,WEISS,NA,1943,12,13,2931,125
FRIEDRICH,NA,STEIN,NA,1981,10,28,2932,583
HARALD,NA,GRAF,NA,1950,7,9,2933,3211
THOMAS,NA,BAUER,NA,1961,11,13,2934,3928
RAINER,NA,BAUER,NA,1989,4,21,2935,3127
DIETLER,NA,BAUER,NA,1979,5,22,2936,1589
HARALD,STEFAN,OTTO,NA,1960,5,8,2937,2197
DIETER,PETER,WAGNER,NA,1940,5,3,2938,1273
ANDREAS,NA,KRUEGER,NA,1952,5,5,2939,1652
HERBERT,NA,VOGEL,NA,1949,3,26,2940,1325
FRANZ,NA,MUELLER,NA,1970,8,10,2941,1776
UWE,NA,BECKER,NA,1967,9,11,2942,4496
ANDREAS,NA,SCHAEFER,NA,1954,7,30,2943,1267
UWE,NA,MEYER,NA,2001,4,22,2944,4157
MARTIN,NA,HAHN,NA,1943,3,30,2945,2478
MANFRED,NA,KOERTIG,NA,1949,1,20,2946,2342
UWE,NA,SCHUMACHER,NA,1985,9,8,2947,4472
HEIKO,NA,BECK,NA,1953,12,30,2948,1512
WOLFGANG,NA,MAIER,NA,1978,9,20,2949,2499
AXEL,THORSTEN,FISCHER,NA,2002,7,8,2950,1980
MARTIN,PETER,SCHMIDT,NA,1974,8,18,2951,4213
HORST,NA,MUELLER,NA,1959,6,17,2952,2298
PAUL,NA,MAIER,NA,1958,10,8,2953,2223
MARK,NA,KOCH,NA,1960,9,27,2954,439
GERD,NA,DIETRICH,NA,1940,7,15,2955,2417
HEINRICH,NA,LUDWIG,NA,1972,5,30,2956,3705
MATTHIAS,NA,MUELLER,NA,1967,12,11,2957,277
WILLI,NA,FUCHS,NA,1947,10,21,2958,1824
BERND,NA,BAUER,NA,1985,11,11,2959,3861
HEIKO,NA,KAISER,NA,1972,11,27,2960,1570
RAINER,NA,HOFFMSNN,NA,1978,12,10,2961,472
HELMUT,NA,KLEIN,NA,1987,9,21,2962,1061
JOERIG,NA,WEBER,NA,1976,8,30,2963,106
HELMUT,NA,ZIMMERMANN,NA,1971,5,29,2964,3720
UWE,NA,LUDWKG,NA,1936,2,22,2965,2348
MICHAEL,NA,HOFMANN,NA,1964,4,12,2966,2021
CHRISTOPH,NA,GUENTHER,NA,1986,5,1,2967,1641
HEINRICH,NA,NEUMANN,NA,2001,8,13,2968,2578
WILLI,NA,ROTH,NA,1945,6,10,2969,4422
MARCEL,NA,KRUEGER,NA,1969,11,27,2970,2972
JUERGEN,NA,FISCHER,NA,1986,3,11,2971,2408
WERNER,NA,HERRMANN,NA,1956,10,13,2972,3321
GERHARD,NA,KAISER,NA,1975,5,29,2973,97
HORST,NA,MAIER,NA,1988,12,2,2974,2816
JAN,NA,WALTER,NA,2001,4,3,2975,2461
CHRISTIAN,NA,DIETRICH,NA,1959,3,29,2976,4192
KLAUS,NA,LANG,NA,1967,11,15,2977,435
HORST,NA,VOGEL,NA,1979,1,29,2978,3000
KLAUS,NA,WINTER,NA,1981,11,24,2979,914
FRANK,NA,PETERS,NA,1990,6,1,2980,4339
PETER,NA,FRANKE,NA,1967,10,2,2981,2621
GUENTHER,NA,SCHULZE,NA,1970,7,10,2982,2172
HERMANNU,NA,KOHC,NA,1925,7,7,2983,797
HOLGER,NA,KRAUS,NA,1984,8,27,2984,3400
ANDREAS,NA,HOFMANN,NA,1979,2,19,2985,2971
BERND,ANDREAS,SCHULZ,NA,2008,11,6,2986,2230
GERD,NA,WOLF,NA,1964,1,8,2987,2864
UWE,NA,SCHOLZ,NA,1970,10,11,2988,2663
GUENTHER,NA,ZIMMERMANN,NA,1961,8,14,2989,1184
PAUL,NA,MAYER,NA,1941,9,23,2990,1821
DIETER,NA,SCHMITZ,NA,1949,1,25,2991,849
GERHARD,NA,MEYER,NA,1947,10,24,2992,1430
GUENTHER,NA,MUELLER,NA,1973,4,24,2993,1370
ANDREAS,NA,SCHMIDT,NA,1993,8,10,2994,2377
ANDREAS,NA,ZIEGLER,NA,1965,4,12,2995,2588
CHRISTIAN,NA,WEBER,NA,1996,5,29,2996,3115
SVEN,NA,FISCHER,NA,1940,2,19,2997,3266
ANDREAS,NA,WINKLER,NA,1930,9,6,2998,2074
PETER,NA,HUBER,NA,1968,7,10,2999,2141
WALTER,NA,SOMMER,NA,1961,4,5,3000,2656
GEORG,KLAUS,KLEIN,NA,1966,5,9,3001,2380
WALTER,NA,KOCH,NA,1928,10,1,3002,1955
MANFRED,NA,FUCHS,NA,1956,7,18,3003,1372
THOMAS,NA,FISCHER,NA,1955,1,15,3004,4379
HANS,NA,BERGER,NA,1974,9,17,3005,4045
ROLF,NA,RICHTER,NA,1950,1,24,3006,999
HARALD,NA,HAHN,NA,1966,10,15,3007,2679
GUENTHER,NA,MUELLER,NA,1985,11,16,3008,1565
PETER,NA,SCHROEDER,NA,1997,1,18,3009,1202
MATTHIAS,NA,SCHWARZ,NA,1971,4,26,3010,1901
RICHARD,NA,MEYER,NA,2004,4,6,3011,1504
PETER,NA,HOFWANN,NA,1925,3,21,3012,1038
THOMAS,NA,KRAUSE,NA,1956,5,17,3013,4378
CHRISTIAN,NA,MUELLER,NA,1988,7,21,3014,2266
KURT,NA,PETERS,NA,1943,7,16,3015,3908
WERNER,NA,LANG,NA,1939,7,23,3016,2710
GUENTHER,NA,PFEIFFER,NA,1966,12,2,3017,2246
HARALD,NA,BAUER,NA,1986,1,4,3018,686
OLIVER,NA,BAUER,NA,1950,1,17,3019,735
DIRK,NA,FRANKE,NA,1953,10,16,3020,42
WOLFGANG,NA,KAISER,NA,1980,9,27,3021,2626
GUENTHER,NA,SIMON,NA,1965,2,6,3022,2822
WERNER,NA,BAUER,NA,1990,6,5,3023,3194
HEINRICH,NA,KOERTIG,NA,1990,2,14,3024,636
THOMAS,NA,SCHULZ,NA,1955,5,7,3025,3946
DIRK,NA,KUHN,NA,1931,3,12,3026,4023
THOMAS,WALTER,KUEHN,NA,1945,4,12,3027,734
HELMUT,NA,BERGER,SCHAEFER,1964,7,31,3028,3509
MARTIN,NA,SCHNEIDER,NA,1943,8,25,3029,3650
RALF,NA,LORENZ,NA,1983,3,14,3030,3939
JAN,NA,FUCHS,NA,1999,6,26,3031,1877
THORSTEN,NA,MUELLER,NA,1959,9,28,3032,2069
JUERGEN,NA,KRAEMER,NA,1965,3,15,3033,2132
DIETER,NA,SCHNEIDER,NA,1942,8,11,3034,2245
KARRL,NA,SEIDEL,NA,1958,4,26,3035,579
ANDREAS,NA,LEHMANN,NA,1988,12,8,3036,3828
KARL,NA,SCHMIDT,NA,1998,11,21,3037,2119
SVEN,NA,SCHMID,NA,1984,7,23,3038,4361
PAUL,NA,HARTMANN,NA,1963,6,14,3039,4078
THOMAS,NA,SCHULZ,NA,1954,7,27,3040,3911
THOMAS,NA,SCHMIDT,NA,1966,11,11,3041,4135
KURT,NA,MUELLER,NA,1963,7,21,3042,3704
JUERGEN,NA,GROSS,NA,1961,5,8,3043,661
FRANK,NA,SCHROEDER,NA,1966,3,19,3044,3209
JAN,NA,KRUEGER,NA,1960,3,22,3045,2829
MARTIN,NA,WEBER,NA,1990,3,28,3046,2577
OTTO,NA,SCHMIDT,NA,1954,7,25,3047,3889
WALTER,JUERGEN,MEIER,NA,1993,9,26,3048,1674
FRANK,NA,GUENTHER,NA,1965,12,28,3049,2256
CHRISTIAN,NA,SCHMIDT,NA,1950,9,22,3050,2855
WOLFGANG,NA,BRAUN,NA,1968,11,18,3051,2080
HELMPUT,NA,BERGER,SCHAEFER,1964,7,31,3052,3509
HANS,NA,ZIMMERMANN,NA,1944,7,31,3053,2051
TIM,NA,SCHMID,NA,1940,2,20,3054,2647
AXEL,NA,LANG,NA,1971,9,1,3055,4391
THOMAS,NA,BECK,NA,1943,3,30,3056,2784
JENS,NA,KOEHLER,NA,2004,6,9,3057,1006
JENS,NA,HERRMANN,NA,1941,12,4,3058,2418
JUERGEN,CHRISTIAN,SCHREIBER,NA,1954,3,31,3059,1382
STPEFAN,NA,MUELLER,NA,1941,6,9,3060,4388
LOTHAR,NA,GROSS,NA,1968,11,26,3061,4018
MANFRED,NA,KRAUSE,NA,1932,1,31,3062,1419
WOLFGANG,NA,ZIMMERMANN,NA,2006,2,3,3063,1649
DIETER,NA,SCHMIDT,NA,1928,4,5,3064,1665
GERHARD,NA,SCHULZ,NA,1973,6,23,3065,1056
ANDREAS,NA,WEBER,NA,1952,10,17,3066,1946
JAN,NA,BECK,NA,1924,12,15,3067,928
HERMANN,NA,POHL,NA,1965,2,9,3068,322
TOBIAS,NA,GROSS,NA,1963,2,22,3069,4075
CHRISTIAN,NA,SCHULZ,NA,1967,8,14,3070,2198
DIRK,PAUL,DIETRICH,NA,1974,4,11,3071,957
HORST,NA,BAUER,NA,1979,2,12,3072,2444
FRANK,NA,MUELLER,NA,1958,12,20,3073,2809
WOLFGANG,NA,HAAS,NA,1965,2,20,3074,654
ANDREAS,NA,FISCHER,NA,2003,1,6,3075,1145
DIETER,MATTHIAS,MEYER,NA,1983,10,13,3076,2738
THOMAS,NA,WERNER,NA,1968,7,14,3077,2389
VOLKER,NA,HEINRICH,NA,1943,1,29,3078,3868
MARK,NA,POHL,NA,1993,11,29,3079,3153
BERND,NA,SCHULZ,NA,1953,10,14,3080,2937
WERNER,NA,SCHROEDER,NA,1963,7,17,3081,4061
RUDOLF,NA,MUELLER,NA,1962,1,15,3082,2801
MARTIN,NA,SCHNEIDER,NA,2006,1,25,3083,863
WERNER,NA,SCHMIDT,NA,1975,11,21,3084,3662
ANDREAS,NA,KRAUS,NA,1928,9,22,3085,1411
HORST,NA,SCHOLZ,NA,1962,5,6,3086,3850
JOACHIM,NA,WINKLER,NA,1992,8,25,3087,836
JUERGEN,NA,MUELLER,NA,1943,10,6,3088,2068
GERD,NA,GUENTHER,NA,1976,5,4,3089,2054
DIETER,NA,KRAEMER,NA,1939,8,19,3090,3077
UWE,NA,WERNER,NA,1943,8,4,3091,2563
HORST,NA,SCHUBERT,NA,1927,4,14,3092,198
JUERGEN,NA,KELLER,NA,1959,9,5,3093,3699
JOACHIM,NA,SCHOLZ,NA,1979,3,13,3094,497
MANFRED,NA,MUELLER,NA,1975,2,19,3095,652
HORST,NA,MAYER,NA,1972,1,14,3096,4259
GUENTHER,NA,SCHMITT,NA,1996,6,22,3097,3571
DIETER,NA,WOLFF,NA,1950,3,11,3098,1556
CHRISTIAN,NA,MUELLER,NA,1963,7,23,3099,3680
MANFRED,NA,FRIEDRICH,NA,1962,5,5,3100,2580
UWE,NA,NEUMANN,NA,1986,5,3,3101,3839
STEFAN,KURT,KRAUSE,NA,1979,9,11,3102,2065
HORST,NA,HUBER,NA,1993,3,4,3103,1085
WOLFGANG,NA,FISCHER,NA,1966,6,17,3104,704
MATTHIAS,NA,SAUER,NA,1993,12,1,3105,2807
CHRISTOPH,NA,SIMON,NA,1960,9,4,3106,303
GUENTHER,NA,BECK,NA,1955,4,17,3107,2294
UWE,NA,KRAEMER,NA,1969,9,30,3108,4041
RAINER,NA,SCHULZE,NA,1937,7,22,3109,4092
ALEXANDER,NA,SCHMITT,NA,1973,3,20,3110,3507
KLAUS,NA,MEIER,NA,1972,3,20,3111,402
BERND,NA,KAISER,NA,1961,2,17,3112,1103
HELMUT,NA,SCHWARZ,NA,2006,12,4,3113,3272
JUERGEN,NA,MEYER,NA,1988,8,15,3114,1412
KLAUS,NA,LEHMANN,NA,1966,6,7,3115,3300
DIETER,NA,SCHMITZ,NA,1954,8,8,3116,2118
HERMANN,NA,ZIMMERMANN,NA,1957,9,3,3117,3894
HEINZ,NA,FUCHS,NA,2008,12,19,3118,3974
MATTHIAS,NA,WERNER,NA,1974,9,29,3119,2324
HORST,NA,KRUEGER,NA,1965,2,4,3120,3778
STEFAN,NA,KOERTIG,SCHMITT,1980,5,5,3121,4096
ANDRE,NA,VOGEL,NA,1943,8,10,3122,349
LARS,NA,MUELLER,NA,1959,1,10,3123,1379
BERND,NA,SCHMIDT,NA,1937,7,23,3124,3902
CHRISTIAN,NA,SCHULZ,NA,1952,11,8,3125,1545
PELTER,NA,WAGNER,NA,1998,6,17,3126,1984
JENS,NA,FISCHER,NA,1969,2,18,3127,83
WERNER,NA,WAGNER,NA,1960,2,11,3128,2455
PETER,NA,MEIER,NA,1948,6,16,3129,1552
SVEN,NA,HOYRN,NA,1940,5,18,3130,3029
HELMUT,NA,WINTER,NA,1986,5,14,3131,385
WILHELM,NA,HORN,NA,1965,10,23,3132,427
ROLF,NA,FRIEDRICH,NA,1968,9,11,3133,2906
KARL,NA,THOMAS,NA,2001,3,8,3134,2124
MICHAEL,NA,WAGNER,NA,1927,3,10,3135,4292
WOLFGANG,NA,SCHOLZ,NA,2008,6,21,3136,4295
WERNER,NA,SCHUMACHER,NA,1969,6,3,3137,4270
JUERGEN,NA,SAUER,NA,1981,8,3,3138,3833
KLAUS,NA,SCHMIDT,NA,2008,5,23,3139,2287
FRANK,NA,FISCHER,NA,1964,12,14,3140,2779
RAINER,NA,WEBER,NA,1996,3,3,3141,4051
CHRISTIAN,NA,NEUMANN,NA,1979,2,25,3142,3134
HORST,NA,KOCH,NA,1943,4,17,3143,331
HORST,FRIEDRICH,LANGE,NA,1975,4,19,3144,4399
HANS,NA,BECKER,NA,1961,4,12,3145,3046
DIRK,NA,KUHN,NA,1929,5,6,3146,3309
MARKUS,NA,KOEHLER,NA,1970,2,15,3147,1510
FRANK,NA,SCHROEDER,NA,1953,2,5,3148,3032
JUERGEN,NA,SCHROEDER,NA,1940,8,12,3149,3978
ROLF,NA,MUELLER,NA,1957,5,8,3150,1577
GUENTHER,NA,KLEIN,NA,1980,5,31,3151,3750
WERNER,RALF,ZIEGLER,NA,1942,12,2,3152,1214
HANS,NA,SCHILZ,NA,1980,5,17,3153,2582
HARALD,NA,SCHAEFER,NA,1986,1,28,3154,2345
MICHAEL,NA,DIETRICH,NA,1987,4,13,3155,3748
FRANK,NA,LANGE,NA,1937,11,12,3156,4016
JUERGEN,NA,GRAF,NA,1988,4,1,3157,3947
BENJAMIN,NA,ZIMMERMANN,NA,1961,8,28,3158,2365
SVEN,NA,MAYER,NA,1941,5,9,3159,1435
BERND,NA,KLEIN,NA,1963,5,24,3160,3253
MICHAEL,NA,WEBER,NA,1975,3,6,3161,1602
HARALD,NA,DIETRICH,NA,1988,1,22,3162,3083
HEINZ,NA,GUENTHER,NA,1929,5,19,3163,760
WOLFGANG,NA,ENGEL,NA,2007,12,19,3164,263
HORST,NA,MUELLER,NA,1991,9,7,3165,1112
UWE,NA,MUELLER,KRAEMER,1966,8,9,3166,1706
WERNER,NA,VOIGT,NA,1971,2,11,3167,867
THORSTEN,NA,KRAUS,NA,1966,12,26,3168,2485
STEFAN,NA,VOGEL,NA,1988,1,16,3169,2877
KLAUS,NA,BAUER,NA,1974,8,2,3170,3131
BERND,NA,WEBER,NA,1927,11,6,3171,2035
FRANK,NA,BECK,NA,2004,8,18,3172,3795
CHRISTIAN,NA,BECKER,NA,1925,10,18,3173,1590
DIETER,WOLFGANG,MEIER,NA,1959,8,21,3174,4077
HELMUT,NA,JAEGER,NA,1971,6,9,3175,420
PATRICK,NA,KAISER,NA,1972,8,14,3176,3859
WERNER,NA,SCHMIDT,NA,1956,10,8,3177,1964
STEFAN,NA,SCHMIDT,NA,1950,9,22,3178,1395
JOERG,NA,SCHOLZ,NA,1935,5,5,3179,4390
PETER,NA,FRANKE,NA,1961,2,20,3180,1571
ANDREAS,NA,ROTH,NA,1940,3,5,3181,2211
JOACHIM,KLAUS,SCHMIDT,NA,1977,9,22,3182,2473
JOACHIM,NA,NEUMANN,NA,2005,11,13,3183,36
HANS,NA,GRAF,NA,1945,10,31,3184,386
ROBERT,NA,WAGNER,NA,1945,6,20,3185,3117
KLAUS,NA,WINTER,NA,1937,8,6,3186,3429
CHRISTIAN,NA,MEYER,NA,1997,6,7,3187,241
PETER,NA,BAUER,NA,1930,11,17,3188,1872
THORSTEN,NA,MUELLER,NA,1951,8,12,3189,1130
ANDRE,NA,MAIER,NA,1929,1,11,3190,1956
FRANK,CARSTEN,FRANK,NA,1965,11,9,3191,3102
STEFAN,NA,JUNG,NA,1947,7,29,3192,3552
JUERGEN,NA,SCHROEDER,NA,1935,3,15,3193,3725
WOLFGANG,NA,KOCH,NA,1988,6,7,3194,4445
ALEXANDER,NA,SCHAEFER,NA,1938,8,22,3195,4088
WOLFGANG,NA,WAGNER,NA,2004,7,21,3196,2029
GERHARD,NA,FISCHER,NA,1967,10,20,3197,205
MANFRED,NA,KOERTIG,NA,1940,1,25,3198,4350
RALF,NA,SCHOLZ,NA,1963,3,17,3199,930
GUENTHER,HANS,SCHULZ,NA,1931,9,3,3200,2704
HANS,NA,FRANKE,NA,1973,10,28,3201,701
DIRK,NA,FISCHER,NA,1926,2,24,3202,2547
JOERG,NA,FISCHER,NA,1938,2,9,3203,251
WOLFGASNG,BERND,MAIER,NA,1928,2,6,3204,1004
GUENTHER,NA,MEYER,NA,1996,8,6,3205,90
MARTIN,NA,RICHTER,NA,1978,1,4,3206,2885
MARTIN,NA,HARTMANN,NA,1990,10,2,3207,2978
UWE,NA,BECKER,NA,1946,6,1,3208,2575
WILFRIED,FRANK,SCHNEIDER,NA,1959,3,92,3209,2924
MARKUS,NA,MEYER,NA,1980,10,8,3210,3372
